-148044795109.03,-15172457469.75,148820243329.15,4.41	-190013851442.06,129276441328.17,229820934691.16,1.39
-147801212316.61,-17732974641.82,148861199618.66,4.43	-190998009727.94,127473869005.55,229629760700.30,1.40
-147510432014.98,-20315436676.68,148902802259.09,4.45	-191983957878.88,125628481407.48,229434860959.68,1.41
-147178318450.07,-22867431478.10,148944207152.20,4.46	-192933736463.02,123811425873.12,229243747662.43,1.42
-146802247516.59,-25414048055.32,148985817158.82,4.48	-193884554160.79,121951620502.24,229048942554.32,1.43
-146377827811.92,-27980157873.14,149028043366.15,4.50	-194817581071.75,120084801358.04,228854209950.02,1.43
-145913635632.15,-30513676789.27,149070028961.53,4.52	-195732782720.01,118211146003.37,228659566322.40,1.44
-145405748483.87,-33039543352.11,149112182993.44,4.53	-196613038448.03,116367053325.31,228468768078.66,1.45
-144854279569.86,-35557003694.59,149154493131.92,4.55	-197492837724.67,114480380165.93,228274348965.18,1.46
-144259355097.57,-38065305134.88,149196946980.08,4.57	-198354719750.12,112587398457.58,228080067385.55,1.47
-143614446940.31,-40588879555.11,149239962856.84,4.59	-199214710768.45,110651704265.36,227882207825.41,1.48
-142932606848.23,-43076499515.45,149282667818.25,4.60	-200040332376.31,108746521569.59,227688252948.43,1.49
-142215305614.49,-45527751718.18,149325045881.57,4.62	-200847959722.98,106835561944.52,227494483935.08,1.50
-141448081272.61,-47991922305.16,149367949380.87,4.64	-201652578951.50,104882090064.36,227297196230.09,1.51
-140638227621.09,-50443196243.32,149410933721.88,4.65	-202423806506.86,102959999637.97,227103850619.44,1.52
-139785948925.37,-52880832707.13,149453986178.91,4.67	-203191285696.87,100995546050.25,226907027006.96,1.53
-138891462428.55,-55304093647.08,149497093984.02,4.69	-203926037979.49,99063036573.95,226714168461.67,1.53
-137964666635.76,-57687997243.86,149539808298.41,4.71	-204656307328.73,97088324965.45,226517873409.64,1.54
-136986888374.07,-60080468917.20,149582988109.34,4.72	-205367772531.89,95108709171.44,226321869369.64,1.55
-135978131086.82,-62432463364.57,149625748504.84,4.74	-206060421180.96,93124372134.89,226126172440.94,1.56
-134918074349.56,-64791261870.55,149668949354.81,4.76	-206734242637.68,91135496280.94,225930798611.77,1.57
-133828408819.57,-67108506826.24,149711705272.59,4.77	-207389228017.22,89142263500.88,225735763758.51,1.58
-132687188170.29,-69430778329.33,149754875993.93,4.79	-208037191695.53,87107129221.00,225537413946.53,1.59
-131517767596.14,-71710465021.17,149797576706.12,4.81	-208654129520.80,85105652409.86,225343111361.74,1.60
-130309132251.93,-73970432508.06,149840231025.18,4.83	-209252214914.87,83100364383.72,225149194996.31,1.61
-129061604230.27,-76209999027.45,149882826361.98,4.84	-209842193525.09,81053506842.35,224952033008.96,1.62
-127762196828.18,-78451014383.42,149925783626.93,4.86	-210402213966.35,79041071127.21,224758943241.15,1.63
-126437509914.42,-80647528078.95,149968222295.94,4.88	-210953410489.11,76987302004.53,224562655103.03,1.64
-125074972582.45,-82821618968.60,150010564078.27,4.89	-211485038611.97,74930325324.85,224366831795.59,1.65
-123674955006.50,-84972626234.48,150052796391.95,4.91	-211997103250.59,72870328346.58,224171489132.72,1.66
-122237839177.18,-87099894836.43,150094906666.49,4.93	-212489611045.99,70807497614.72,223976642802.18,1.67
-120764018823.48,-89202775732.59,150136882346.73,4.95	-212962570345.84,68742018947.26,223782308365.19,1.67
-119269490635.99,-91259552085.58,150178284859.79,4.96	-213415991185.80,66674077422.02,223588501255.98,1.68
-117723852958.13,-93312000636.80,150219955459.15,4.98	-213849885270.78,64603857363.94,223395236781.42,1.69
-116142757097.43,-95338158935.85,150261454057.49,5.00	-214271755739.71,62493147532.26,223198966835.12,1.70
-114543309056.49,-97317141576.28,150302347600.39,5.01	-214666277082.91,60418886617.82,223006843789.09,1.71
-112892977622.67,-99289141676.38,150343466939.36,5.03	-215048078507.87,58304439516.45,222811767501.75,1.72
-111208536073.06,-101233010401.35,150384377148.80,5.05	-215403294847.72,56226879190.51,222620846676.04,1.73
-109508157191.58,-103128751546.32,150424651859.32,5.07	-215745102897.47,54109446642.36,222427025426.73,1.74
-107757261529.79,-105014864192.94,150465109290.70,5.08	-216066763696.17,51990790905.12,222233860410.77,1.75
-105992065591.40,-106852283599.89,150504911809.69,5.10	-216368301508.33,49871100764.10,222041366841.91,1.76
-104195359857.26,-108659844985.44,150544461631.92,5.12	-216649742232.55,47750564098.00,221849559794.71,1.77
-102348642498.74,-110455157352.23,150584150583.79,5.13	-216911113381.11,45629367868.58,221658454204.48,1.78
-100490116425.91,-112201033379.85,150623156887.64,5.15	-217152444059.71,43507698110.71,221468064867.14,1.79
-98601616909.33,-113915415140.62,150661875283.01,5.17	-217377603947.12,41347157343.14,221274964960.23,1.80
-96683674095.24,-115597776089.44,150700294204.68,5.18	-217578584355.02,39225094680.31,221086065645.51,1.81
-94736827769.82,-117247598481.82,150738402159.65,5.20	-217762728802.33,37064534695.22,220894512805.57,1.82
-92761627217.55,-118864373563.38,150776187730.90,5.22	-217923496557.33,34942825223.89,220707162064.12,1.83
-90758631075.50,-120447601757.15,150813639581.26,5.23	-218066772013.66,32783001652.57,220517215323.00,1.84
-88728407183.49,-121996792848.80,150850746457.26,5.25	-218189488403.39,30623833797.45,220328100899.97,1.85
-86671532430.22,-123511466169.49,150887497192.91,5.27	-218291687725.23,28465510849.50,220139833373.81,1.86
-84588592595.25,-124991150776.30,150923880713.52,5.29	-218372133404.23,26346733821.74,219955766077.16,1.87
-82480182187.06,-126435385630.17,150959886039.50,5.30	-218434710834.80,24152151091.14,219765896580.46,1.88
-80369021632.55,-127829385510.00,150995137133.74,5.32	-218475626230.68,21997487293.21,219580255724.65,1.89
-78211734600.03,-129201755097.24,151030357707.82,5.34	-218496207732.49,19844414413.92,219395518588.94,1.90
-76030804783.92,-130537357359.44,151065167866.31,5.35	-218496504822.36,17693116234.28,219211699007.30,1.91
-73849696177.56,-131822577869.05,151099204701.95,5.37	-218476028844.20,15505413248.86,219025553348.35,1.92
-71623599035.49,-133083786447.56,151133166955.56,5.39	-218435551375.88,13358251241.05,218843626777.44,1.93
-69375758770.70,-134307004738.31,151166687556.44,5.40	-218373682643.85,11175133363.51,218659435829.17,1.94
-67130322420.03,-135479827760.22,151199417717.65,5.42	-218291020354.72,8994610895.97,218476251781.91,1.95
-64864863900.64,-136614695974.81,151231695504.41,5.44	-218187624093.08,6816871729.43,218294088439.33,1.96
-62556127681.91,-137722475451.67,151263840210.05,5.45	-218063554871.29,4642102547.09,218112959448.00,1.97
-60252373427.69,-138779979895.71,151295179445.76,5.47	-217918875107.61,2470488820.21,217932878297.83,1.98
-57906278862.89,-139808901862.64,151326356500.72,5.49	-217753648604.56,302214804.27,217753858322.61,1.99
-55566886767.90,-140787703807.04,151356719204.46,5.50	-217567940527.49,-1862536464.44,217575912700.50,2.00
-53210773489.13,-141726888432.95,151386582365.15,5.52	-217361817383.35,-4023583171.99,217399054454.55,2.01
-50838614843.99,-142626158950.80,151415936995.80,5.54	-217131192632.13,-6218553912.53,217220222876.72,2.02
-48426143812.40,-143493966403.87,151445071886.99,5.56	-216884089004.18,-8371578058.13,217045597472.88,2.03
-46023794927.88,-144312142267.47,151473377546.65,5.57	-216611909334.83,-10558015352.98,216869064077.56,2.04
-43607468282.65,-145089581659.53,151501148497.82,5.59	-216324111879.30,-12702291945.33,216696722635.65,2.05
-41177860986.83,-145826035407.36,151528376346.08,5.61	-216010674233.91,-14879463229.79,216522538801.38,2.06
-38735674924.42,-146521266488.13,151555052852.54,5.62	-215676544127.17,-17051686582.41,216349559051.88,2.07
-36281616534.14,-147175050131.10,151581169936.85,5.64	-215321800989.84,-19218779609.67,216177795971.73,2.08
-33816396587.85,-147787173915.66,151606719680.11,5.66	-214946525515.13,-21380561243.12,216007261984.63,2.09
